"root"	"root_in_comps"	"root_has_verb"	"root_group"	"root_sign"	"root_meaning"	"sanskrit_root"	"sanskrit_root_meaning"	"sanskrit_root_class"	"root_example"	"dhatupatha_num"	"dhatupatha_root"	"dhatupatha_pali"	"dhatupatha_english"	"dhatumanjusa_num"	"dhatumanjusa_root"	"dhatumanjusa_pali"	"dhatumanjusa_english"	"dhatumala_root"	"dhatumala_pali"	"dhatumala_english"	"panini_root"	"panini_sanskrit"	"panini_english"	"note"	"matrix_test"	"root_ru_meaning"	"sanskrit_root_ru_meaning"
"√ghus"	""	"･"	"1"	"a"	"shout, make noise"	"√ghuṣ"	"sound"	"1, 4"	"ghosa, ghosita, appanigghosa"	"-"	"-"	"-"	"-"	"447"	"ghusa"	"saddasmiṃ"	"making sound"	"ghusa"	"sadde"	"making sound"	"ghuṣ ir"	"aviśabdane"	"making a noise"	""	"√"	"кричать, шуметь"	"издавать"
"√cakkh"	""	"･"	"1"	"a"	"see"	"√cakṣ"	"see"	"1, 2"	"cakkhu, vicakkhaṇa, apacakkha"	"16"	"cakkha"	"dassane"	"seeing"	"22"	"cakkha"	"dasse"	"seeing"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"	"видеть, замечать"	"видеть"
"√caj"	"ccaj"	"･"	"1"	"a"	"give up, let go"	"√tyaj"	"forsake"	"1"	"cajati, cajita, cāga"	"65"	"caja"	"hāniyaṃ"	"relinquishing"	"81"	"caja"	"hāniyaṃ"	"giving up, abandoning"	"caja"	"cāge"	"giving up"	"tyaj a"	"hānau"	"abandoning, relinquishing"	""	"√"	"отказаться, отступить"	"оставлять"
"√caṇḍ"	""	"×"	"1"	"a"	"be fierce, violent"	"√caṇḍ"	"be angry"	"10"	"caṇḍa"	"-"	"-"	"-"	"-"	"142"	"caṇḍa"	"caṇḍikke"	"being ferocious"	"caḍi"	"kope"	"to be angry"	"caḍ i"	"kope"	"being angry"	""	"√"	"яростно, атаковать"	"сердиться"
"√cand"	""	"×"	"1"	"a"	"glow, be bright"	"√cand √ścand"	"shine"	"1"	"canda, candana, candimā"	"140"	"canda"	"ditti-hilādanesu"	"bright and happy"	"198"	"cadi"	"kanti-hilādane"	"desiring and being happy"	"cadi"	"hilādane dittiyañca"	"being happy and radiating"	"cad i"	"āhlāde dīptau ca"	"reviving and shining"	""	"√"	"светить, светиться"	"сиять"
"√cabb"	""	"･"	"8"	"e, aya"	"chew, spit out"	"√chṛd"	"spue, eject"	"1"	"cabbetvā"	"-"	"-"	"-"	"-"	"295"	"cabba"	"adane"	"eating"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"	"жевать, выплевывать"	"выбрасывать"
"√cam"	""	"･"	"1"	"a"	"wash, rinse"	"√cam"	"sip"	"1, 5"	"ācameti"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ācamu 8"	"dhovane"	"washing"	"-"	"-"	"-"	""	"√"	"мыть, промывать"	"пить"
"√car 1"	""	"･"	"1"	"a"	"move, walk"	"√car"	"move"	"1"	"carati, cārikā, paricāraka"	"243"	"cara"	"gati-bhakkhaṇesu"	"going and eating"	"362"	"cara"	"gati-bhakkhaṇesu"	"going and eating"	"cara"	"gati-bhakkhaṇesu"	"going and eating"	"car a"	"gatyarthaḥ bhakṣaṇe’pi"	"going and eating"	""	"√"	"двигаться, ходить"	"двигаться"
"√car 2"	""	"･"	"1"	"a"	"act, behave"	"√car"	"move"	"1"	"anucarati, duccarita, samudācarati, suciṇṇa"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"cara"	"caraṇe"	"behaving"	"-"	"-"	"-"	""	"√"	"действовать, поведение"	"двигаться"
"√cal"	""	"･"	"1"	"a"	"shake, tremble"	"√cal"	"stir"	"1"	"calati, pacalāyati, calana, cañcala"	"261"	"cala"	"kampane"	"trembling"	"374"	"cala"	"kampane"	"shaking, stirring"	"cala"	"kampane"	"shaking, trembling"	"cal a"	"kampane"	"trembling, shaking"	""	"√"	"трястись, дрогнуть"	"возбуждать"
"√cāy"	""	"･"	"1"	"a"	"honour"	"√cāy"	"note, observe"	"1"	"apacāyati, apacāyamāna, apacita"	"237"	"cāya"	"pūjāyaṃ"	"worshipping"	"339"	"cāyu"	"saṃpūjane"	"venerating, paying respect"	"cāyu"	"pūjā-nisāmanesu"	"worshipping and looking, hearing"	"cāy ṛ"	"pūjā-niśāmanayoḥ"	"worshipping and perceiving"	""	"√"	"почитать, уважать"	"заметить, наблюдать"
"√ci 1"	""	"･"	"5"	"nā"	"gather, accumulate"	"√ci"	"gather"	"1, 2, 5"	"cināti, vicaya, cīvara"	"496"	"ci"	"caye"	"collecting, accumulating"	"716"	"ci"	"caye"	"accumulating"	"ci"	"caye"	"accumulating"	"ci ñ"	"cayane"	"piling up"	""	"√"	"собирать, накапливать"	"собирать"
"√ci 2"	""	"･"	"5"	"nā"	"note, observe"	"√ci"	"note, observe"	"1, 3, 5"	"apacinati"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"	"заметить, наблюдать"	"заметить"
"√cikkh"	""	"･"	"1"	"a"	"show, tell"	"√khyā √cakṣ"	"see"	"2"	"ācikkhati, paṭisañcikkhati, ācikkhāpetvā"	"19"	"cikkha"	"vacane"	"speaking"	"23"	"cikkha"	"vāce"	"saying, speaking"	"cikkha"	"viyattiyaṃ vācāyaṃ"	"articulate speech"	"-"	"-"	"-"	"desid of √khā"	"√"	"показать, сказать"	"видеть"
"√ciṭ"	""	"×"	"1"	"a"	"send, abuse"	"√ciṭ"	"send out"	"1"	"ceṭaka"	"-"	"-"	"-"	"-"	"113"	"ciṭa"	"akkose ca pesane"	"abusing and messaging"	"ciṭa"	"pesane"	"sending"	"ciṭ a"	"parapraiṣye
parapreṣye"	"being in the service of another"	"from ceṭa"	"√"	"послать, оскорбить"	"отправить"
"√cit 1"	""	"･"	"8"	"e, aya"	"think, intend"	"√cit √cint"	"perceive, know, appear"	"1, 2, 3"	"ceteti, cetayati, sañcetanā, cetasika, citta"	"-"	"-"	"-"	"-"	"811"	"cita"	"sañcetanādīsu"	"intending etc"	"cita"	"sañcetane"	"thinking, intending"	"cit a"	"saṃcetane"	"thinking, intending"	"alternative form of √cint (think)"	"√"	"думать, намереваться"	"воспринимать, знать, появляться"
"√cit 2"	""	"･"	"1"	"a"	"mark"	"√cit"	"perceive, know, appear"	"1, 2, 3"	"cita, citra, vicitta"	"-"	"-"	"-"	"-"	"179"	"cita"	"saññāṇe"	"marking, perceiving"	"citi"	"saññāṇe"	"marking"	"cit ī"	"saṃjñāne"	"naming"	""	"√"	"отмечать, помечать"	"воспринимать, знать, появляться"
"√citt"	""	"･"	"8"	"e, aya"	"paint, design"	"√cit √citraya"	"make variegated"	"10"	"citteti, cittita"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"citta"	"cittakaraṇe"	"making variegated"	"citra"	"citrīkaraṇe"	"making variegated, decorating, painting"	"denom of sk citra, pāli √cit + ra > citta"	"√"	"рисовать, проектировать"	"разнообразить"
"√cint"	""	"･"	"8"	"e, aya"	"think"	"√cint"	"think"	"10"	"vicinteti, cintā, sañcicca"	"577"	"cinta"	"cintāyaṃ"	"thinking, considering"	"808"	"cinta"	"cintane"	"thinking"	"cinta"	"cintāyaṃ"	"thinking"	"cit i"	"smṛtyāṃ"	"remembering, recollecting"	"alternative form of √cit (think, intend)"	"√"	"думать, размышлять"	"думать"
"√cil"	""	"･"	"1"	"a"	"clothe"	"√cil"	"put on clothes"	"6"	"cela, acelaka"	"-"	"-"	"-"	"-"	"565"	"cila"	"vasane"	"clothing"	"cila"	"vasane"	"to clothe"	"cil a"	"vasane"	"putting on clothes"	""	"√"	"одевать, облачать"	"надевать"
"√cu"	"ccu"	"･"	"1"	"a"	"shift, fall away, die"	"√cyu"	"move, stir"	"1"	"cavati, cuta, cavana"	"35"	"cu"	"cavane"	"falling away"	"55"	"cu"	"cavane"	"falling away, dying"	"cu"	"cavane"	"falling away, dying"	"cyu ṅ"	"gatau"	"going"	""	"√"	"упасть, умирать"	"двигать"
"√cuṇṇ"	""	"･"	"8"	"e, aya"	"grind, crush, powder"	"√cūrṇ"	"powder"	"10"	"cuṇṇa, cuṇṇavicuṇṇa"	"573"	"cuṇṇa"	"saṃcuṇṇane"	"crushing, powdering"	"804"	"cuṇṇa"	"cuṇṇane"	"powdering"	"cuṇṇa"	"peraṇe"	"grinding, crushing"	"cūrṇ a"	"preraṇe"	"powdering"	""	"√"	"молоть, измельчать"	"пудрить"
"√cud"	""	"･"	"8"	"e, aya"	"impel, accuse"	"√cud"	"impel"	"1"	"codeti, codaka, cujjamāna"	"585"	"cuda"	"codane"	"accusing"	"818"	"cuda"	"codane"	"accusing, urging"	"cuda"	"sañcodane āṇattiyañ ca"	"accusing and ordering, commanding"	"cud a"	"saṃcodane"	"urging"	""	"√"	"внушать, обвинять"	"унести"
"√cup"	""	"･"	"1"	"a"	"move"	"√cup"	"stir"	"1"	"uddcopeti"	"191"	"cupa"	"mandagamane"	"going slowly"	"264"	"cupa"	"mandagate"	"going slowly"	"cupa"	"mandagatiyaṃ"	"going slowly"	"cup a"	"mandāyāṃ gatau"	"moving slowly"	""	"√"	"двигать, перемещать"	"перемешивать"
"√cumb"	""	"･"	"1"	"a"	"kiss"	"√cumb"	"kiss"	"1"	"cumbati, paricumbati"	"197"	"cumba"	"vadana-saṃyoge"	"joining mouths"	"285"	"cumba"	"vadadaṃyoge"	"kissing"	"cubi"	"vadana-saṃyoge"	"joining mouths"	"cub i"	"vaktra-saṃyoge"	"joining mouths"	""	"√"	"целовать, поцеловать"	"целовать"
"√cur"	""	"･"	"8"	"e, aya"	"steal"	"√cur"	"steal"	"3, 10"	"coreti, cora, corī"	"530"	"cura"	"theyye"	"stealing"	"743"	"cura"	"theyye"	"stealing"	"cura"	"theyye"	"stealing"	"cur a"	"steye"	"stealing, robbing"	""	"√"	"украсть, красть"	"украсть"
"√chaḍḍ"	"cchaḍḍ"	"･"	"8"	"e, aya"	"discard, abandon"	"√chṛd √tyaj"	"spue, eject"	"1, 7"	"chaḍḍeti, chaḍḍita"	"571"	"chaḍḍa"	"chaḍḍane"	"throwing away, rejecting"	"802"	"chaḍḍa"	"chaḍḍane"	"abandoning, reject"	"chaḍḍa"	"chaḍḍane"	"throwing away, rejecting"	"-"	"-"	"-"	""	"√"	"бросить, покинуть"	"выбросить"
"√chad"	"cchad"	"･"	"8"	"e, aya"	"cover, conceal"	"√chad"	"cover"	"1"	"chādeti, chatta, paṭicchanna, chada"	"586"	"chada"	"saṃvaraṇe"	"covering, obstructing"	"820"	"chada"	"apavāraṇe"	"warding off, obstructing"	"chada"	"apavāraṇe"	"covering"	"chad a"	"apavāraṇe"	"covering, concealing"	""	"√"	"покрывать, скрывать"	"покрывать"
"√chand"	"cchand"	"･"	"8"	"e, aya"	"desire, please"	"√chad √chand"	"seem, please"	"1, 2"	"chādeti, channa"	"587"	"chanda"	"icchāyaṃ"	"wishing"	"821"	"chanda"	"icchayaṃ"	"wanting"	"chadī"	"icchāyaṃ"	"wanting"	"-"	"-"	"-"	""	"√"	"желать, угождать"	"казаться, угождать"
"√chā"	""	"×"	"1"	"a"	"be hungry"	"√psā"	"devour"	"2"	"chāta, nicchāta"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"! fake root"	"√"	"голодать, испытывать голод"	"поглотить"
"√chid"	"cchid"	"･"	"2"	"ṃa"	"cut, steal"	"√chid"	"cut off"	"7, 9"	"chindati, ucchinna, acchecchi, uccheda"	"382"	"chida"	"dvedhākaraṇe"	"making into two"	"615"	"chidi"	"dvedhākaraṇe"	"making into two"	"chidi"	"dvedhākaraṇe"	"making into two"	"chid ir"	"dvaidhīkaraṇe"	"making into two"	""	"√"	"резать, воровать"	"отрезать"
"√chuṭ"	"cchuṭ"	"･"	"8"	"e, aya"	"cut off"	"√chuṭ"	"cut"	"10"	"nicchoṭeti"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"chuṭa"	"chedane"	"cutting"	"-"	"-"	"-"	""	"√"	"обрезать, отсекать"	"резать"
"√chup"	""	"･"	"1"	"a"	"touch"	"√chup"	"touch"	"6"	"chupati"	"480"	"chupa"	"samphasse"	"touching, contacting"	"544"	"chupa"	"samphasse"	"touching"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"	"касаться, прикасаться"	"касаться"
"√chubh"	"cchubh"	"･"	"1"	"a"	"throw out"	"√chṛd"	"spue, eject"	"2"	"chuddha"	"-"	"-"	"-"	"-"	"550"	"chubha"	"nicchubhe"	"throwing out"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"	"выбрасывать, изгонять"	"выбрасывать"
"√jakkh"	""	"×"	"1"	"a"	"eat"	"√jakṣ"	"eat"	"1, 2"	"ajaddhuka"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"jakkha"	"bhakkhaṇe hasane ca"	"eating and laughing"	"jakṣ a"	"bhakṣa-hasanayoḥ"	"eating and laughing"	""	"√"	"есть, поглощать"	"есть"
"√jagg"	""	"･"	"1"	"a"	"look after"	"√jāgṛ"	"wake"	"1, 2"	"paṭijaggati"	"22"	"jagga"	"niddākhaye"	"destroying sleep"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"	"присматривать, ухаживать"	"просыпаться"
"√jaggh"	""	"･"	"1"	"a"	"laugh"	"√ghagh √ghaggh"	"laugh"	"1"	"jaggati, sañjagghana"	"31"	"jaggha"	"hasane"	"laughing"	"38"	"jaggha"	"hasane"	"laughing"	"jaggha"	"hasane"	"laughing"	"ghagh a"	"hasane"	"laughing"	""	"√"	"смеяться, хохотать"	"смеяться"
"√jaṭ"	""	"･"	"1"	"a"	"twist, tangle"	"√jhaṭ"	"become entangled"	"1"	"vijaṭeti, jaṭā, jaṭila"	"95"	"jaṭa"	"saṃghāte"	"accumulating"	"118"	"jaṭa"	"saṃghāte"	"accumulating"	"jaṭa"	"saṃghāte"	"accumulating, collecting"	"jaṭ a"	"saṃghāte"	"combining"	""	"√"	"скручивать, переплетать"	"запутаться"
"√jan"	""	"･"	"3"	"ya"	"be born, produce"	"√jan"	"give birth, be born"	"4"	"vijāyati, jāyati, jāta, janeti, janaka"	"428"	"jana"	"janane"	"producing, causing"	"664"	"jana"	"uppāde"	"appearing, arsing"	"jana"	"janane"	"making, producing"	"jan a"	"janane"	"producing, generating"	""	"√"	"рождаться, производить"	"рождаться"
"√japp"	""	"･"	"1"	"a"	"mutter, pray"	"√jap"	"whisper"	"1"	"pajappati, pajappā"	"190"	"jappa"	"vacane"	"speaking"	"270"	"jappa"	"vace vyatte"	"speaking clearly"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"	"молить, бормотать"	"шептать"
"√jambh"	""	"･"	"1"	"a"	"yawn, stretch, wake up"	"√jṛmbh"	"gape"	"1"	"jambhati, vijambhikā"	"208"	"jambha"	"gattavināme"	"stretching the limbs"	"549"	"jambha"	"jambhane"	"yawning, waking up"	"jabha"	"gattavināme"	"bending the body or the limbs"	"jabh i
jṛbh i"	"gātravināme
gātravināme"	"bending the limbs"	""	"√"	"зевать, протягиваться"	"зиять"
"√jar"	""	"･"	"1"	"a"	"age"	"√jṛ √jṝ"	"waste away"	"1, 4, 6, 9, 10"	"jarati, jara, jarā"	"252"	"jara"	"jīraṇe"	"getting old, decaying"	"356"	"jara"	"jīraṇatthe"	"getting old"	"jara"	"roge"	"being infirm"	"jvar a"	"roge"	"being infirm"	""	"√"	"стареть, устареть"	"увядать"
"√jal 1"	"jjal"	"･"	"1"	"a"	"shine, blaze"	"√jval"	"burn, flame"	"1"	"pajalati, jāleti, jalita daddallamānā"	"264"	"jala"	"dittiyaṃ"	"shining"	"377"	"jala"	"dittiyaṃ"	"shining, blazing"	"jala"	"dittiyaṃ"	"shining"	"jval a"	"dīptau"	"blazing"	""	"√"	"светить, блеснуть"	"гореть, пламенеть"
"√jal 2"	""	"×"	"8"	"e, aya"	"hide, conceal"	"√jal"	"cover up"	"10"	"jāla"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"jala"	"apavāraṇe"	"covering, concealing"	"jal a"	"apavāraṇe"	"covering, concealing"	""	"√"	"скрывать, утаивать"	"заглушить"
"√jāgar 1"	""	"･"	"1"	"a"	"be awake, watchful"	"√jāgṛ √gṛ"	"wake"	"1, 2, 3"	"jāgarati, jāgara"	"254"	"jāgara"	"niddākhaye"	"destroying sleep"	"369"	"jāgara"	"supinakkhaye"	"destroying dreams"	"jāgara"	"niddakhaye"	"destroying sleep"	"jāg ṛ"	"nidrākṣaye"	"destroying sleep"	""	"√"	"бодрствовать, наблюдать"	"просыпаться"
"√jāgar 2"	""	"･"	"7"	"o"	"be awake, watchful"	"√jāgṛ √gṛ"	"wake"	"1, 2, 3"	"paṭijāgaroti"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"jāgara"	"niddakhaye"	"destroying sleep"	"jāg ṛ"	"nidrākṣaye"	"destroying sleep"	""	"√"	"бодрствовать, быть бдительным"	"просыпаться"
"√ji 1"	""	"･"	"1"	"a"	"conquer"	"√ji"	"conquer"	"1, 2"	"jeti, jigiṃsati, jeṭṭha, aparājita"	"56"	"ji"	"jaye"	"conquering"	"98"	"ji"	"jaye"	"conquering"	"ji"	"jaye"	"conquering"	"ji"	"jaye"	"conquering"	""	"√"	"завоевывать, покорять"	"покорить"
"√ji 2"	""	"･"	"5"	"nā"	"conquer"	"√ji √jyā"	"conquer"	"9"	"vijināti, jina, vijita"	"495"	"ji"	"jaye"	"conquering"	"717"	"ji"	"jaye"	"conquering"	"ji"	"jaye"	"conquering"	"-"	"-"	"-"	""	"√"	"завоевывать, побеждать"	"завоевать"
"√jī"	""	"･"	"3"	"ya"	"age, decay"	"√jṝ √jṛ"	"waste away"	"1, 4, 6, 9"	"jīyati, jiyyati, jīna"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ji"	"jāniyaṃ"	"deprivation"	"-"	"-"	"-"	"passive of √ji 1?"	"√"	"стареть, увядать"	"устранять"
"√jīr"	""	"･"	"1"	"a"	"grow old, decay"	"√jṝ √jṛ"	"waste away"	"1, 4, 6, 9"	"jīrati, jīrīyati, jiṇṇa, nijjiṇṇa"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"jīra"	"brūhane"	"increasing"	"-"	"-"	"-"	""	"√"	"стареть, разлагаться"	"устранять"
"√jīv"	""	"･"	"1"	"a"	"live"	"√jīv"	"live"	"1"	"jīvati, jīva"	"282"	"jīva"	"pāṇadhāraṇe"	"supporting life"	"414"	"jīva"	"pāṇadhāraṇe"	"carrying life"	"jīva"	"pāṇadhāraṇe"	"supporting life"	"jīv a"	"prāṇadhāraṇe"	"supporting life"	""	"√"	"жить, проживать"	"жить"
"√ju"	""	"･"	"1"	"a"	"be fast"	"√jū"	"be swift"	"1, 9"	"javati, java"	"57"	"ju"	"jave"	"going fast"	"99"	"ju"	"jave"	"going quickly"	"ju"	"gatiyaṃ"	"going fast"	"jyu ṅ"	"gatau"	"going fast"	""	"√"	"быть быстрым"	"быть быстрым"
"√jut"	"jjut"	"･"	"1"	"*a"	"shine"	"√dyut"	"shine"	"1"	"jotati, pajjota, vijju"	"120"	"juta"	"dittiyaṃ"	"shining"	"176"	"juta"	"dittimhi"	"shining"	"juta"	"dittiyaṃ"	"shining"	"dyut a"	"dīptau"	"shining"	""	"√"	"светить, блестеть"	"сиять"
"√jus"	""	"×"	"6"	"ṇhā"	"like, please"	"√juṣ"	"enjoy"	"2, 6"	"juṇha"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"jusi"	"pīti-sevanesu"	"joy and associating, serving"	"-"	"-"	"-"	""	"√"	"любить, пожалуйста"	"наслаждаться"
"√jhap"	""	"･"	"8"	"e, aya"	"burn, blaze"	"√kṣai √kṣā"	"burn"	"1, 4"	"jhāpeti, jhatta"	"600"	"jhapa"	"dāhe"	"burning"	"836"	"jhapa"	"dāhe"	"burning, heating"	"jhapa"	"dāhe"	"burning"	"-"	"-"	"-"	""	"√"	"сжечь, загорать"	"сжечь"
"√jhā"	"jjhā"	"･"	"3"	"ya"	"think, meditate"	"√dhyai √dhyā"	"think"	"2, 4"	"jhāyati, jhāna, abhijjhā"	"401"	"jhā"	"cintāyaṃ"	"thinking, considering"	"638"	"jhā"	"vicintane"	"thinking, considering"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"	"размышлять, созерцать"	"думать"
"√jhe"	"jjhe"	"･"	"1"	"a"	"burn, blaze"	"√jval, √kṣai"	"burn, flame"	"1, 4"	"jhāyati, jhāyana"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"jhe"	"dittiyaṃ"	"shining"	"-"	"-"	"-"	""	"√"	"гореть, пылать"	"гореть"
"√ñā"	"ññā"	"･"	"5"	"nā"	"know"	"√jñā"	"know"	"9"	"pajānāti, ñāyati, jāna, paṭiññā, viññāya"	"497"	"ñā"	"avabodhane"	"understanding"	"718"	"ñā"	"avabodhane"	"knowing, understanding"	"ñā"	"avabodhane"	"understanding, perceiving"	"jñā"	"avabodhane"	"knowing, understanding"	""	"√"	"знать, осознавать"	"знать"
"√ṭhā"	"ṭṭhā"	"･"	"1"	"a"	"stand"	"√sthā"	"stand"	"1"	"tiṭṭhati, ṭhāna, ṭhiti"	"359"	"ṭhā"	"gatinivuttiyaṃ"	"standing still"	"587"	"ṭhā"	"gatīvinivuttiyaṃ"	"stopping from going"	"ṭhā"	"gatinivattiyaṃ"	"stopping from going"	"ṣṭhā"	"gatinivṛttau"	"stopping going"	""	"√"	"стоять, поддерживать"	"стоять"
"√ṭhubh"	""	"･"	"1"	"a"	"spit"	"√ṣṭhīv"	"spew"	"1"	"oṭṭhubhati"	"-"	"-"	"-"	"-"	"551"	"ṭhubha"	"niṭṭhubbane"	"spitting"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"	"плевать, выплёвывать"	"рвать"
"√ḍah"	""	"･"	"1"	"a"	"burn"	"√dah"	"burn"	"1, 2, 4"	"uḍḍahati, daḍḍha anuḍahana"	"332"	"daha"	"bhasmīkaraṇe"	"reducing to ashes"	"495"	"daha"	"<b>bhasmīkaraṇe</b> ca patiṭṭhāyaṃ"	"<b>reducing to ashes </b>and placing"	"daha"	"<b>bhasmīkaraṇe</b> dhāraṇe ca"	"<b>burning</b> and bearing"	"dah a"	"bhasmīkaraṇe"	"reducing to ashes"	""	"√"	"сжечь, палить"	"сжигать"
"√ḍaṃs"	""	"･"	"1"	"a"	"bite, sting"	"√daṃś √daṅś"	"bite"	"1"	"ḍaṃsa, ḍaṃsati"	"314"	"ḍaṃsa"	"daṃsane"	"biting, stinging"	"466"	"ḍaṃsa"	"dasane"	"biting"	"daṃsa"	"daṃsane"	"stinging, biting"	"danś a"	"daśane"	"biting"	""	"√"	"кусать, жалить"	"кусать"
"√ḍi 1"	""	"･"	"1"	"a"	"fly"	"√ḍī"	"fly"	"4"	"ḍeti, uḍḍeti"	"360"	"ḍī"	"ākāsagamane"	"going by sky"	"585"	"ḍī"	"vehāsagamane"	"going by sky, flying"	"ḍi"	"vihāyasagatiyaṃ gamanamatte ca"	"going by air and mere going"	"ḍī ṅ"	"vihāyasā gatau"	"going by air"	""	"√"	"лететь, улетать"	"лететь"
"√ḍi 2"	""	"･"	"1"	"a"	"trap"	"-"	"-"	"-"	"uḍḍeti, uḍḍita"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ḍi"	"khipan-uḍḍanesu"	"throwing and flying up"	"-"	"-"	"-"	""	"√"	"захватывать, поймать"	""
"√takk"	""	"･"	"8"	"e, aya"	"think"	"√tark"	"think"	"10"	"vitakketi, vitakka"	"534"	"takka"	"vitakke"	"thinking, considering"	"747"	"takka"	"vitakkaṇe"	"thinking, reflecting"	"takka"	"vitakke"	"thinking, reflecting"	"-"	"-"	"-"	""	"√"	"думать, обдумывать"	"думать"
"√tacch"	""	"･"	"1"	"a"	"cut, chop"	"√takṣ √tvakṣ"	"fashion"	"1, 2, 5"	"tacchati"	"51"	"taccha"	"tanukaraṇe"	"reducing, making thin"	"67"	"taccho"	"tanukriya"	"making slender"	"taccha"	"tanukaraṇe"	"making thin, reducing"	"takṣ ū
tvakṣ ū"	"tanūkaraṇe
tanūkaraṇe"	"reducing, making thin"	""	"√"	"резать, порубить"	"формировать"
"√tajj"	""	"･"	"8"	"e, aya"	"frighten, threaten"	"√tarj"	"threaten"	"1"	"tajjeti, tajjita"	"547n"	"tajja"	"tajjane"	"frightening"	"770"	"tajja"	"tajjane"	"frightening"	"tajja"	"santajjane"	"frightening"	"tarj a"	"saṃtarjane"	"threatening"	""	"√"	"пугать, угрожать"	"угрожать"
"√tan"	""	"･"	"7"	"o"	"stretch, extend"	"√tan"	"stretch"	"8"	"tanoti, tantu, tanu, uttāna"	"519"	"tana"	"vitthāre"	"expanding"	"732"	"tanu"	"vitthāre"	"expanding"	"tanu"	"vitthāre"	"extending"	"tan u"	"vistāre"	"spreading, expanding"	""	"√"	"растягивать, удлинять"	"растягивать"
"√tand"	""	"･"	"1"	"a"	"be slow, lazy"	"√tand √tandr"	"be weary"	"1"	"tandī, atandita"	"-"	"-"	"-"	"-"	"235"	"tanda"	"ālasiye"	"being lazy, slothful"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"	"медлить, лениться"	"уставать"
"√tap"	""	"･"	"1"	"a"	"burn, radiate heat"	"√tap"	"heat"	"1"	"tapati, ātāpī, ātapa, tapanīya"	"182"	"tapa"	"santāpe"	"heating, burning"	"262"	"tapa"	"santāpe"	"heating, burning"	"tapa"	"santāpe"	"heating"	"tap a"	"saṃtāpe"	"heating, burning"	""	"√"	"гореть, излучать"	"нагревать"
"√tapp 1"	""	"･"	"1"	"a"	"regret"	"√trap"	"be abashed"	"1"	"ottappati, ottapa"	"193"	"tappa"	"santappane"	"heating, grieving"	"271"	"tappa"	"santappane"	"burning, heating"	"-"	"-"	"-"	"-"	"-"	"-"	"orign passive of √tap (burn)"	"√"	"сожалеть, колебаться"	"смущаться"
"√tapp 2"	""	"･"	"8"	"e, aya"	"satisfy"	"√tṛp"	"be pleased"	"4, 5, 6"	"santappeti"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"tapa"	"pīṇane"	"gladdening"	"tṛp a"	"tṛptau"	"being satisfied"	""	"√"	"удовлетворять, утолять"	"радоваться"
"√tam"	""	"･"	"1"	"a"	"faint"	"√tam"	"faint"	"1, 4"	"patameyya"	"-"	"-"	"-"	"-"	"330"	"tama"	"sāntve avasādiye"	"appeasing and sinking"	"nitami"	"kilamane"	"fatigue, weariness"	"-"	"-"	"-"	""	"√"	"обесценивать, слабеть"	"обессилить"
"√tar 1"	""	"･"	"1"	"a"	"cross"	"√tṝ √tṛ"	"pass"	"1"	"nittharati, uttara, nitthiṇṇa, taruna"	"241"	"tara"	"taraṇe"	"crossing"	"344"	"tara"	"taraṇasmiṃ"	"crossing over"	"tara"	"plavana-taraṇesu"	"floating and crossing"	"tṝ"	"plavana-taraṇayoḥ"	"swimming and crossing"	"related to √tir (cross)"	"√"	"пересечь, пересекать"	"проходить"
"√tar 2"	"tar or ttar"	"･"	"1"	"a"	"hurry"	"√tvar"	"hasten"	"1"	"tarati, turaṅga, turito"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"tara"	"sambhame"	"being unstable"	"ñi tvar ā"	"saṃbhrame"	"hurrying"	""	"√"	"спешить, торопить"	"ускорить"
